file,title,slug,continent,suggested
"src/content/rate-virtual-number-by-country/english/hungary.md","Hungary","hungary","other","europe"
"src/content/rate-virtual-number-by-country/english/malta.md","Malta","malta","other","europe"
"src/content/rate-virtual-number-by-country/english/russian-federation.md","Russian Federation","russian-federation","other","asia"
"src/content/rate-virtual-number-by-country/english/spain.md","Spain","spain","other","europe"
"src/content/rate-virtual-number-by-country/english/switzerland.md","Switzerland","switzerland","other","europe"
"src/content/rate-virtual-number-by-country/english/ukraine.md","Ukraine","ukraine","other","europe"
"src/content/rate-virtual-number-by-country/english/united-kingdom.md","United Kingdom","united-kingdom","other","europe"
"src/content/rate-virtual-number-by-country/spanish/bahrein.md","Bahrein","bahrein","other","asia"
"src/content/rate-virtual-number-by-country/spanish/hungría.md","Hungría","hungría","other","europe"
"src/content/rate-virtual-number-by-country/spanish/irlanda.md","Irlanda","irlanda","other","europe"
"src/content/rate-virtual-number-by-country/spanish/letonia.md","Letonia","letonia","other","europe"
"src/content/rate-virtual-number-by-country/spanish/lituania.md","Lituania","lituania","other","europe"
"src/content/rate-virtual-number-by-country/spanish/malta.md","Malta","malta","other","europe"
"src/content/rate-virtual-number-by-country/spanish/reino-unido.md","Reino Unido","reino-unido","other","europe"
"src/content/rate-virtual-number-by-country/spanish/república-checa.md","República Checa","república-checa","other","europe"
"src/content/rate-virtual-number-by-country/spanish/república-dominicana.md","República Dominicana","república-dominicana","other","south-america"
"src/content/rate-virtual-number-by-country/spanish/república-eslovaca.md","República Eslovaca","república-eslovaca","other",""
"src/content/rate-virtual-number-by-country/spanish/rusia.md","Rusia","rusia","other","asia"
"src/content/rate-virtual-number-by-country/spanish/singapur.md","Singapur","singapur","other","asia"
"src/content/rate-virtual-number-by-country/spanish/sudáfrica.md","Sudáfrica","sudáfrica","other","africa"
"src/content/rate-virtual-number-by-country/spanish/suiza.md","Suiza","suiza","other","europe"
"src/content/rate-virtual-number-by-country/spanish/ucrania.md","Ucrania","ucrania","other","europe"